feature,split_score,gain_score
new_state_id_auth_sum_median,0.5,31.5
new_state_id_auth_sum_std,0.0,57.5
new_city_id_auth_mean_min,0.5,40.5
new_city_id_auth_mean_max,1.5,98.0
new_city_id_auth_mean_sum,99.5,100.0
new_city_id_auth_mean_mean,1.0,99.5
new_city_id_auth_mean_median,0.0,97.0
new_city_id_auth_mean_std,84.5,100.0
new_city_id_auth_sum_min,0.0,5.0
new_city_id_auth_sum_max,0.0,16.0
new_city_id_auth_sum_sum,0.0,86.0
new_city_id_auth_sum_mean,3.0,92.5
new_city_id_auth_sum_median,0.0,96.5
new_city_id_auth_sum_std,19.5,98.5
hist_merchant_category_id_auth_mean_min_mean,79.5,100.0
hist_merchant_category_id_auth_mean_max_mean,18.0,82.0
hist_merchant_category_id_auth_mean_sum_mean,71.0,100.0
hist_merchant_category_id_auth_mean_mean_mean,44.5,99.5
hist_merchant_category_id_auth_mean_median_mean,19.0,99.5
hist_merchant_category_id_auth_mean_std_mean,88.0,100.0
hist_merchant_category_id_auth_sum_min_mean,53.5,100.0
hist_merchant_category_id_auth_sum_max_mean,77.5,100.0
hist_merchant_category_id_auth_sum_sum_mean,73.0,100.0
hist_merchant_category_id_auth_sum_mean_mean,0.0,18.0
hist_merchant_category_id_auth_sum_median_mean,0.0,99.5
hist_merchant_category_id_auth_sum_std_mean,4.0,100.0
hist_subsector_id_auth_mean_min_mean,70.5,100.0
hist_subsector_id_auth_mean_max_mean,30.0,99.5
hist_subsector_id_auth_mean_sum_mean,45.5,89.0
hist_subsector_id_auth_mean_mean_mean,0.5,81.5
hist_subsector_id_auth_mean_median_mean,3.5,97.0
hist_subsector_id_auth_mean_std_mean,83.5,100.0
hist_subsector_id_auth_sum_min_mean,25.0,100.0
hist_subsector_id_auth_sum_max_mean,70.5,100.0
hist_subsector_id_auth_sum_sum_mean,60.0,100.0
hist_subsector_id_auth_sum_mean_mean,38.0,100.0
hist_subsector_id_auth_sum_median_mean,43.5,100.0
hist_subsector_id_auth_sum_std_mean,1.0,98.0
hist_merchant_id_auth_mean_min_mean,98.0,100.0
hist_merchant_id_auth_mean_max_mean,94.0,100.0
hist_merchant_id_auth_mean_sum_mean,88.5,100.0
hist_merchant_id_auth_mean_mean_mean,17.0,98.5
hist_merchant_id_auth_mean_median_mean,46.5,100.0
hist_merchant_id_auth_mean_std_mean,33.5,100.0
hist_merchant_id_auth_sum_min_mean,0.5,100.0
hist_merchant_id_auth_sum_max_mean,13.0,100.0
hist_merchant_id_auth_sum_sum_mean,54.5,100.0
hist_merchant_id_auth_sum_mean_mean,65.5,100.0
hist_merchant_id_auth_sum_median_mean,0.5,99.0
hist_merchant_id_auth_sum_std_mean,12.0,99.5
hist_state_id_auth_mean_min_mean,47.0,100.0
hist_state_id_auth_mean_max_mean,6.0,99.5
hist_state_id_auth_mean_sum_mean,96.5,100.0
hist_state_id_auth_mean_mean_mean,31.5,78.5
hist_state_id_auth_mean_median_mean,50.0,100.0
hist_state_id_auth_mean_std_mean,76.5,100.0
hist_state_id_auth_sum_min_mean,79.5,100.0
hist_state_id_auth_sum_max_mean,60.5,100.0
hist_state_id_auth_sum_sum_mean,46.0,100.0
hist_state_id_auth_sum_mean_mean,7.5,99.5
hist_state_id_auth_sum_median_mean,71.0,100.0
hist_state_id_auth_sum_std_mean,54.0,100.0
hist_city_id_auth_mean_min_mean,4.5,100.0
hist_city_id_auth_mean_max_mean,19.5,100.0
hist_city_id_auth_mean_sum_mean,98.0,100.0
hist_city_id_auth_mean_mean_mean,1.0,90.5
hist_city_id_auth_mean_median_mean,16.0,100.0
hist_city_id_auth_mean_std_mean,37.5,100.0
hist_city_id_auth_sum_min_mean,1.0,100.0
hist_city_id_auth_sum_max_mean,98.0,100.0
hist_city_id_auth_sum_sum_mean,82.0,100.0
hist_city_id_auth_sum_mean_mean,1.0,98.5
hist_city_id_auth_sum_median_mean,2.0,90.5
hist_city_id_auth_sum_std_mean,8.5,100.0
hist_merchant_category_id_auth_mean_min_std,29.0,100.0
hist_merchant_category_id_auth_mean_max_std,3.5,95.0
hist_merchant_category_id_auth_mean_sum_std,76.5,100.0
hist_merchant_category_id_auth_mean_mean_std,11.0,99.0
hist_merchant_category_id_auth_mean_median_std,18.5,100.0
hist_merchant_category_id_auth_mean_std_std,35.5,100.0
hist_merchant_category_id_auth_sum_min_std,62.5,100.0
hist_merchant_category_id_auth_sum_max_std,78.5,100.0
hist_merchant_category_id_auth_sum_sum_std,3.5,100.0
hist_merchant_category_id_auth_sum_mean_std,10.5,100.0
hist_merchant_category_id_auth_sum_median_std,48.0,100.0
hist_merchant_category_id_auth_sum_std_std,78.0,100.0
hist_subsector_id_auth_mean_min_std,8.5,99.0
hist_subsector_id_auth_mean_max_std,38.0,99.0
hist_subsector_id_auth_mean_sum_std,71.0,99.5
hist_subsector_id_auth_mean_mean_std,17.5,100.0
hist_subsector_id_auth_mean_median_std,51.5,100.0
hist_subsector_id_auth_mean_std_std,7.0,99.5
hist_subsector_id_auth_sum_min_std,5.0,100.0
hist_subsector_id_auth_sum_max_std,15.0,100.0
hist_subsector_id_auth_sum_sum_std,22.0,100.0
hist_subsector_id_auth_sum_mean_std,23.0,100.0
hist_subsector_id_auth_sum_median_std,7.5,100.0
hist_subsector_id_auth_sum_std_std,0.5,94.0
hist_merchant_id_auth_mean_min_std,15.5,100.0
hist_merchant_id_auth_mean_max_std,88.0,100.0
hist_merchant_id_auth_mean_sum_std,77.5,100.0
hist_merchant_id_auth_mean_mean_std,54.0,100.0
hist_merchant_id_auth_mean_median_std,3.5,98.5
hist_merchant_id_auth_mean_std_std,0.0,98.5
hist_merchant_id_auth_sum_min_std,12.0,100.0
hist_merchant_id_auth_sum_max_std,12.5,100.0
hist_merchant_id_auth_sum_sum_std,85.5,100.0
hist_merchant_id_auth_sum_mean_std,87.5,100.0
hist_merchant_id_auth_sum_median_std,13.5,100.0
hist_merchant_id_auth_sum_std_std,87.5,100.0
hist_state_id_auth_mean_min_std,70.5,100.0
hist_state_id_auth_mean_max_std,44.5,100.0
hist_state_id_auth_mean_sum_std,91.5,100.0
hist_state_id_auth_mean_mean_std,65.0,99.5
hist_state_id_auth_mean_median_std,45.0,99.0
hist_state_id_auth_mean_std_std,77.0,100.0
hist_state_id_auth_sum_min_std,55.0,100.0
hist_state_id_auth_sum_max_std,0.0,85.0
hist_state_id_auth_sum_sum_std,33.0,100.0
hist_state_id_auth_sum_mean_std,18.5,99.5
hist_state_id_auth_sum_median_std,21.5,100.0
hist_state_id_auth_sum_std_std,5.5,100.0
hist_city_id_auth_mean_min_std,21.0,100.0
hist_city_id_auth_mean_max_std,79.5,100.0
hist_city_id_auth_mean_sum_std,65.5,99.0
hist_city_id_auth_mean_mean_std,71.5,100.0
